编号,标题,链接,得分,作者
编号,标题,链接,得分,作者
1,英文版《改革春风吹满地》！！Chinese people so 牛逼！,//www.bilibili.com/video/av40672186/,6412864,A路人
2,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,//www.bilibili.com/video/av19390801/,2017657,小可儿
3,日语版《生僻字》好听跪！魔性鬼畜，美少年僧侣在线念经！,//www.bilibili.com/video/av40472905/,1381745,O2O男团
4,BILIBILI POWER UP 2018宣传片,//www.bilibili.com/video/av40856794/,1355060,哔哩哔哩弹幕网
5,【电脑装机】如何用最低预算组装一台全新的能畅玩3A大作的游戏电脑？附游戏测试和抽奖,//www.bilibili.com/video/av40605349/,1114647,喵喵折App
6,270km入弯！亲身体验日本地下飙车,//www.bilibili.com/video/av40781088/,1051077,极速拍档
7,游戏史上最硬核的游戏 99％的玩家被劝退！,//www.bilibili.com/video/av40812617/,997235,神秘店长A
8,【全明星】2018鬼畜全星大回顾,//www.bilibili.com/video/av40444882/,975002,OELoop
9,【官方回播】BILIBILI MACRO LINK 2018 IN BEIJING,//www.bilibili.com/video/av40789489/,951741,哔哩哔哩线下活动
10,【230部动画/泪目】像你永远活着那样去追求梦想，也像今天即将死去那样用力活着！,//www.bilibili.com/video/av39303278/,885230,戦場ヶ原様
11,冒着被侵犯的风险，试吃了所有的民间X藥，效果......,//www.bilibili.com/video/av40780435/,863603,吃喝实验室
12,【1080/漫威/衔接踩点向】前方高能！让人相当舒服的踩点与衔接！,//www.bilibili.com/video/av39492241/,853208,轩龙鸽鸽
13,【六小龄童】Something Just Like This,//www.bilibili.com/video/av39573474/,849785,柴可夫司徒
14,猫：我就说怎么这么香，原来是我熟了？！这是我带过最差一届的猫！网络上让人爆笑的沙雕图#34,//www.bilibili.com/video/av40743065/,838824,喵不磕盐
15,B站邀老番茄专访北极星，两大学霸在线智力碰撞！【bilibili星访问 第31期】,//www.bilibili.com/video/av40907702/,779871,bilibili星访问
16,【万恶之源】最近超火的“盘它”梗的出处,//www.bilibili.com/video/av40434142/,774820,青山七海゚
